key,name,other_names,annotation,notes
fernandovii,Ferando Séptimo,,Rey de España,Completar con más información
laprida,Francisco Narciso de Laprida,,Abogado y político argentino. Diputado por San Juan en el Congreso de Tucumán de 1816.,
